Name,Salary
Isaiah Buggs,"$2,250,000"
Kristian Fulton,"$1,332,548"
Isaiah Oliver,"$3,375,000"
Dayo Odeyingbo,"$1,544,381"
Jaquan Brisker,"$1,838,885"
Willie Gay Jr.,"$1,317,761"
Derick Hall,"$2,278,895"
Cody Davis,"$2,200,000"
Alontae Taylor,"$1,801,175"
Blake Cashman,"$705,773"
Nate Sudfeld,"$1,600,000"
Greg Gaines,"$3,500,000"
Mack Wilson,"$1,600,000"
Nick Bolton,"$1,458,508"
Isaiah Foskey,"$2,183,680"
Eli Apple,"$1,600,000"
Josh Tupou,"$1,500,000"
Carlos Watkins,"$1,670,000"
Julian Okwara,"$1,231,703"
B.J. Ojulari,"$2,149,402"
Justin Evans,"$1,590,000"
J.C. Jackson,"$16,500,000"
Pete Werner,"$1,421,170"
Keanu Neal,"$2,125,000"
Chris Reed,"$1,515,000"
Zack Baun,"$1,202,797"
Khaleke Hudson,"$1,500,000"
Michael Ford,"$1,500,000"
Antonio Hamilton,"$1,500,000"
Jihad Ward,"$1,500,000"
Johnathan Ford,"$1,500,000"
Tyquan Lewis,"$2,100,000"
Julius Brents,"$2,049,234"
Sam Williams,"$1,631,686"
Brian Branch,"$2,005,433"
Andre Cisco,"$1,309,125"
Keion White,"$1,947,540"
Joseph Ossai,"$1,298,154"
Aaron Robinson,"$1,285,823"
Kyle Van Noy,"$1,400,000"
Alim McNeill,"$1,282,297"
Milton Williams,"$1,277,543"
P.J. Locke,"$1,400,000"
Benjamin St-Juste,"$1,275,188"
Anfernee Jennings,"$1,149,218"
Jartavius Martin,"$1,909,455"
Troy Andersen,"$1,525,893"
Osa Odighizuwa,"$1,271,548"
Paulson Adebo,"$1,260,090"
Jonathan Greenard,"$1,146,056"
Ed Ingram,"$1,499,496"
Malcolm Koonce,"$1,249,490"
Divine Deablo,"$1,245,208"
Cam Taylor-Britt,"$1,488,182"
Raekwon McMillan,"$1,495,000"
Zach Cunningham,"$1,775,000"
Chauncey Golston,"$1,229,147"
Drake Jackson,"$1,473,098"
Keeanu Benton,"$1,833,281"
Bryan Cook,"$1,461,785"
Patrick Jones,"$1,217,526"
Nik Bonitto,"$1,450,473"
William Gholston,"$2,667,500"
Kareem Jackson,"$2,667,500"
Matthew Slater,"$2,667,500"
Adam Gotsis,"$1,440,000"
Jacob Phillips,"$1,086,079"
Sam Franklin,"$2,510,000"
Malik Harrison,"$1,124,851"
Ifeatu Melifonwu,"$1,196,463"
Ambry Thomas,"$1,196,463"
Baron Browning,"$1,196,463"
Ernest Jones,"$1,196,463"
