Name,RecievingYards,AvgRecievingYards,ReceivingTouchdowns,RecievingYardsPerGame
KaVontae Turpin,123,11.2,3,11.2
Brandon Johnson,122,15.3,3,15.3
Treylon Burks,122,15.3,0,20.3
Luke Farrell,120,10.9,0,10
Cole Turner,120,10.9,0,10.9
Josh Oliver,118,7.4,2,9.8
Devin Singletary,117,6.2,0,9.8
Olamide Zaccheaus,116,16.6,2,9.7
Ray-Ray McCloud III,113,12.6,0,10.3
Deonte Harty,113,8.7,1,10.3
Kendre Miller,111,12.3,0,15.9
Will Dissly,108,10.8,0,9.8
Robbie Chosen,107,35.7,1,21.4
Demarcus Robinson,107,11.9,1,9.7
Parris Campbell,104,5.2,0,8.7
River Cracraft,103,12.9,1,17.2
Khalil Herbert,103,7.4,1,14.7
Darrell Henderson Jr.,103,10.3,0,25.8
Mo Alie-Cox,102,17,1,8.5
Dawson Knox,102,6.8,1,12.8
De'Von Achane,101,7.8,2,16.8
Latavius Murray,98,6.1,0,8.2
Jeremy Ruckert,98,8.9,0,8.2
Irv Smith Jr.,97,6.1,1,9.7
Donovan Peoples-Jones,97,12.1,0,9.7
Will Mallory,95,11.9,0,13.6
Tucker Kraft,95,9.5,1,7.9
Josh Whyle,94,10.4,1,8.5
Drew Sample,93,7.8,2,7.8
Jamal Agnew,90,10,0,11.3
Stephen Sullivan,90,11.3,0,15
Jaleel McLaughlin,89,4.2,2,7.4
Salvon Ahmed,88,5.5,1,11
Dameon Pierce,88,8.8,0,9.8
David Montgomery,87,9.7,0,9.7
Ameer Abdullah,85,7.1,0,7.1
Brock Wright,85,7.7,1,7.1
Cedric Tillman,85,9.4,0,9.4
Tommy Tremble,84,6.5,3,7.6
Michael Carter,83,4.4,0,7.5
Ty Chandler,83,8.3,0,6.9
Tyler Allgeier,83,6.9,0,6.9
Isaiah McKenzie,82,7.5,0,6.8
Deven Thompkins,82,5.5,1,6.8
Tyler Scott,81,8.1,0,6.8
Scott Miller,80,10,2,6.7
Stone Smartt,80,26.7,1,6.7
Dalvin Cook,77,5.9,0,6.4
Alec Ingold,76,8.4,0,6.3
Rico Dowdle,76,6.9,2,6.3
A.T. Perry,75,18.8,1,15
Matt Breida,74,5.3,0,6.2
Justice Hill,73,4.6,0,6.6
Cam Akers,70,6.4,0,10
Keaton Mitchell,70,11.7,0,11.7
Geoff Swaim,68,7.6,0,5.2
Malik Heath,68,11.3,0,8.5
Jeff Wilson Jr.,67,7.4,0,13.4
Chase Claypool,66,13.2,1,9.4
Kyle Juszczyk,65,8.1,2,5.4
Josiah Deguara,65,8.1,0,6.5
Lil'Jordan Humphrey,65,9.3,1,5.4
MyCole Pruitt,64,12.8,1,5.3
Emari Demercado,64,5.3,0,6.4
Jalen Brooks,63,12.6,0,12.6
Samori Toure,62,12.4,0,7.8
Harrison Bryant,61,6.1,3,5.1
Luke Schoonmaker,61,8.7,2,5.1
Parker Washington,61,10.2,1,15.3
Laviska Shenault Jr.,60,6,0,7.5
Rakim Jarrett,60,15,0,6
Kareem Hunt,59,5.9,0,5.9
C.J. Uzomah,58,7.3,1,4.8
Robert Tonyan,58,8.3,0,4.8
D'Onta Foreman,55,6.1,1,7.9
Trent Sherfield,53,7.6,0,4.4
Darnell Washington,53,8.8,0,4.1
Alex Erickson,52,17.3,0,17.3
Boston Scott,52,13,0,5.2
Jordan Akins,51,7.3,0,4.3
Ian Thomas,51,12.8,0,6.4
Tyquan Thornton,51,6.4,0,8.5
Ronnie Bell,51,12.8,1,4.3
Jalen Guyton,50,8.3,1,12.5
Darrynton Evans,49,7,0,8.2
Quez Watkins,49,7,0,9.8
Elijah Higgins,49,12.3,0,7
Patrick Ricard,48,12,0,4
Ty Johnson,47,15.7,1,7.8
Mecole Hardman Jr.,47,5.2,0,5.2
Gary Brightwell,47,9.4,0,6.7
Craig Reynolds,47,9.4,0,3.9
Melvin Gordon III,46,15.3,0,23
Johnny Mundt,45,9,0,3.8
David Bell,45,7.5,0,4.5
Mike Strachan,45,45,0,15
Equanimeous St. Brown,44,11,0,8.8
Ben Skowronek,44,7.3,1,3.7
Clyde Edwards-Helaire,44,6.3,0,4
Tim Jones,44,6.3,0,3.7
Derius Davis,44,3.7,0,3.7
Xavier Hutchinson,43,21.5,0,3.9
Raheem Blackshear,41,8.2,0,5.9
Ty Montgomery II,40,8,0,3.1
Mike Boone,40,5.7,0,4.4
Sterling Shepard,39,5.6,1,3.5
Andrei Iosivas,39,7.8,2,3.5
Pierre Strong Jr.,38,12.7,0,3.2
Zamir White,38,6.3,0,3.2
Tony Jones Jr.,37,5.3,0,5.3
Julian Hill,37,9.3,0,3.7
DeAndre Carter,36,12,0,3
James Conner,36,2.6,0,4
Marvin Jones Jr.,35,7,0,5.8
Jamaal Williams,34,3.8,0,4.3
Justyn Ross,34,11.3,0,4.9
Brenton Strange,34,8.5,1,3.1
Keith Smith,33,11,0,3
Jalen Reagor,33,11,0,4.7
Payne Durham,33,8.3,0,4.1
Teagan Quitoriano,33,16.5,0,4.7
Patrick Taylor,32,5.3,0,5.3
Kenyan Drake,31,15.5,0,15.5
Brycen Hopkins,31,10.3,0,3.1
Mitchell Wilcox,30,6,0,2.5
Deuce Vaughn,30,5,0,5
Cordarrelle Patterson,29,4.8,0,3.2
Austin Trammell,29,7.3,0,2.6
Lawrence Cager,27,9,1,3
Jack Stoll,27,6.8,0,2.3
